baker_uncertainty_index,foreign_investment_net,cargo_traffic_domestic,cargo_traffic_international,automobile_monthly,automobile_sales_passenger,automobile_sales_two_wheeler,aircraft_international,cargo_domestic,cargo_international,passenger_india,freight_traffic,foreign_exchange_earning,foreign_tourist_arrival,scheduled_bank_liabilities,scheduled_bank_demand_time_deposit,scheduled_bank_deposits,scheduled_bank_demand_deposits,ceic_leading_indicator,repo_rate,crr,electricity_generation,bse_sensex_average,mutual_fund_equity,mutual_fund_debt,exports_usd,import_usd,import_usd_oil,export_inr_india,import_inr,currency_with_public,demand_deposit_with_bank,money_supply_m4,money_supply_m3,money_supply_m2,net_bank_to_govt_m3,inbound_tourism_earning,foreign_tourist_arrival.1,aircraft_movement_india,cargo_traffic,cargo_traffic_international.1,passenger_traffic,freight_traffic.1,gdp_yoy_pct
0.946968,-0.166068,-0.90827,-0.692353,-1.045078,-0.675003,-1.161103,-0.292345,-0.90827,-0.692353,-0.060089,-0.459099,-0.605042,0.062559,-0.767629,-0.963452,-0.911467,-0.636931,0.552546,1.049463,2.585545,-1.009603,-0.47564,-0.127714,-0.711063,-0.58911,-0.650195,-0.123128,-0.880713,-0.89661,-0.868117,-0.696609,-0.902985,-0.914055,-0.800197,-1.067495,-0.605042,0.062559,-0.292345,-0.90827,-0.692353,-0.060089,-0.459099,0.371825
0.876623,-0.452801,-1.003021,-0.604873,-1.034789,-0.85291,-1.092691,-0.37911,-1.003021,-0.604873,0.042894,-0.731217,-0.832402,-0.719288,-0.651521,-0.924921,-0.889319,-0.726026,-0.154992,1.248424,3.125323,-0.981914,-0.572219,-0.275942,-0.593856,-0.257793,-0.150839,0.202679,-0.683865,-0.617395,-0.819631,-0.73722,-0.875668,-0.885575,-0.788392,-1.039728,-0.832402,-0.719288,-0.37911,-1.003021,-0.604873,0.042894,-0.731217,0.028227
1.095473,-0.460568,-0.910154,-0.583223,-0.890062,-0.961449,-0.987411,-0.292424,-0.910154,-0.583223,0.1546,-0.791508,-0.731474,-0.522577,-0.575938,-0.980263,-0.863463,-0.706892,-0.432015,2.044271,3.896434,-0.961102,-0.69358,-0.266207,-0.704805,-0.394765,0.025151,0.52405,-0.705138,-0.474619,-0.82732,-0.707461,-0.854276,-0.863365,-0.781245,-1.014284,-0.731474,-0.522577,-0.292424,-0.910154,-0.583223,0.1546,-0.791508,-0.185298
1.939607,-1.454749,-1.031004,-0.882067,-1.193081,-1.199371,-1.218773,-0.127832,-1.031004,-0.882067,0.156302,-0.704225,-0.613448,-0.052138,-0.433425,-0.898596,-0.831584,-0.721973,-1.742539,0.71786,0.8891,-0.943449,-0.960322,-0.35836,-1.370284,-0.903198,-0.613216,-0.695805,-0.880059,-0.710154,-0.797039,-0.747014,-0.82722,-0.835111,-0.777412,-0.974886,-0.613448,-0.052138,-0.127832,-1.031004,-0.882067,0.156302,-0.704225,-0.918906
1.00168,-0.751314,-1.020555,-0.909198,-1.046936,-0.641311,-1.09205,-0.237163,-1.020555,-0.909198,0.127578,-0.389712,-0.668344,-0.186517,-0.65879,-0.894156,-0.79159,-0.682206,-1.967772,-0.873833,0.272212,-0.93867,-1.001446,-0.467116,-0.092808,-0.937398,-1.053042,-1.098238,-0.882746,-0.950222,-0.762198,-0.672715,-0.784457,-0.790328,-0.729345,-0.888113,-0.668344,-0.186517,-0.237163,-1.020555,-0.909198,0.127578,-0.389712,-1.469006
0.579613,0.748501,-0.865605,-0.710968,-0.89388,-0.777642,-0.878748,-0.260483,-0.865605,-0.710968,0.250136,-0.581149,-0.787914,-0.721808,-0.699995,-0.820625,-0.749266,-0.655408,-0.77534,-1.338077,0.272212,-0.921969,-0.769085,-0.274133,-0.185444,-0.912836,-0.761516,-0.785487,-0.885313,-0.796401,-0.715962,-0.651853,-0.744774,-0.749022,-0.693269,-0.809951,-0.787914,-0.721808,-0.260483,-0.865605,-0.710968,0.250136,-0.581149,-0.431718
0.48582,1.096464,-0.554679,-0.524081,-0.680847,-0.551607,-0.721332,-0.186152,-0.554679,-0.524081,0.277584,-0.556357,-0.674062,-0.553598,-0.815844,-0.794844,-0.723319,-0.590498,-0.0351,-1.338077,0.272212,-0.893742,-0.610489,-0.42208,-0.205154,-0.761097,-0.68559,-0.465411,-0.805581,-0.758226,-0.725013,-0.583287,-0.723197,-0.726567,-0.673866,-0.771495,-0.674062,-0.553598,-0.186152,-0.554679,-0.524081,0.277584,-0.556357,-0.046861
-0.28797,0.247268,-0.414718,-0.445693,-0.640597,-0.475392,-0.742096,-0.003127,-0.414718,-0.445693,0.353544,-0.416264,-0.513949,0.079755,-0.886171,-0.832112,-0.70109,-0.58718,0.139131,-1.338077,0.272212,-0.855636,-0.523152,-0.789233,-0.090413,-0.626635,-0.372238,-0.207975,-0.76492,-0.61746,-0.677463,-0.600802,-0.701525,-0.704054,-0.653047,-0.747312,-0.513949,0.079755,-0.003127,-0.414718,-0.445693,0.353544,-0.416264,0.422385
0.259154,0.550182,-0.419795,-0.209943,-0.416676,-0.025879,-0.517304,-0.115596,-0.419795,-0.209943,0.333331,-0.256514,-0.414107,0.101891,-0.795112,-0.727226,-0.664707,-0.496389,0.425604,-1.271756,0.734878,-0.820869,-0.52011,-0.714926,-0.438447,-0.431661,-0.32869,-0.109229,-0.67573,-0.609709,-0.643558,-0.479983,-0.662165,-0.663168,-0.586844,-0.685036,-0.414107,0.101891,-0.115596,-0.419795,-0.209943,0.333331,-0.256514,1.505566
0.696854,0.13361,-0.206324,-0.01923,-0.35445,-0.153798,-0.434121,-0.06975,-0.206324,-0.01923,0.470996,-0.506041,-0.649645,-0.61214,-0.736609,-0.67962,-0.630151,-0.486615,0.489544,-0.940154,1.197545,-0.802888,-0.497799,-0.539471,-0.267637,-0.26655,-0.119246,-0.080042,-0.593127,-0.503879,-0.572265,-0.497574,-0.62948,-0.629502,-0.552562,-0.630184,-0.649645,-0.61214,-0.06975,-0.206324,-0.01923,0.470996,-0.506041,0.702102
0.141913,1.953557,0.016765,0.106949,-0.150849,0.150348,-0.282848,-0.057991,0.016765,0.106949,0.549935,-0.48389,-0.585886,-0.389112,-0.689271,-0.645195,-0.606863,-0.458122,0.668988,-0.47591,1.197545,-0.766388,-0.424092,-1.130034,-0.255921,-0.3542,-0.207115,-0.22425,-0.621182,-0.529988,-0.569024,-0.436298,-0.602022,-0.601185,-0.526015,-0.607419,-0.585886,-0.389112,-0.057991,0.016765,0.106949,0.549935,-0.48389,0.796952
0.649957,0.392511,0.015761,-0.024172,-0.113639,0.150732,-0.146706,0.181449,0.015761,-0.024172,0.598661,-0.260181,-0.355323,0.314723,-0.667961,-0.617521,-0.563267,-0.382251,0.772792,-0.210628,1.197545,-0.715367,-0.321945,-0.640339,0.31079,0.059229,-0.055469,-0.116317,-0.441832,-0.488307,-0.524943,-0.381542,-0.561129,-0.558698,-0.479802,-0.586668,-0.355323,0.314723,0.181449,0.015761,-0.024172,0.598661,-0.260181,0.843166
0.74375,-0.951575,-0.093195,0.075928,0.017729,0.542394,-0.118608,0.095756,-0.093195,0.075928,0.566106,-0.068305,-0.345144,0.302616,-0.615428,-0.544969,-0.529038,-0.46406,1.059903,0.120975,1.197545,-0.68052,-0.415705,-0.340995,0.565868,0.473845,0.125299,0.295219,-0.214252,-0.380871,-0.478328,-0.433207,-0.524103,-0.519904,-0.470691,-0.538473,-0.345144,0.302616,0.095756,-0.093195,0.075928,0.566106,-0.068305,0.660665
0.079385,0.275876,-0.301283,0.141984,0.044789,0.065573,-0.04787,0.036244,-0.301283,0.141984,0.684409,-0.281452,-0.501884,-0.419669,-0.592665,-0.547376,-0.479574,-0.52573,0.329151,0.585219,1.197545,-0.639926,-0.411091,-0.387178,0.680275,0.480194,0.638993,0.95971,-0.227897,-0.124115,-0.416606,-0.506442,-0.478677,-0.472608,-0.465959,-0.464078,-0.501884,-0.419669,0.036244,-0.301283,0.141984,0.684409,-0.281452,0.379807
2.697765,-0.566588,-0.122291,0.03659,0.189935,0.025656,0.11435,0.098656,-0.122291,0.03659,0.773987,-0.399394,-0.365387,-0.306731,-0.594801,-0.51775,-0.436713,-0.497907,-0.251708,1.314745,1.197545,-0.573383,-0.490007,-0.310796,-0.429035,0.525077,0.595934,0.714761,-0.169398,-0.112607,-0.435838,-0.512375,-0.45176,-0.444547,-0.479451,-0.407714,-0.365387,-0.306731,0.098656,-0.122291,0.03659,0.773987,-0.399394,-0.306391
3.330866,-0.322315,-0.165237,-0.117944,0.179149,0.112947,0.118369,0.266387,-0.165237,-0.117944,0.791647,-0.106005,-0.066205,0.539,-0.564553,-0.536064,-0.40883,-0.487273,-0.171268,1.646348,1.197545,-0.515487,-0.547059,-0.376049,0.338954,0.324551,0.583733,0.647431,-0.11716,0.051256,-0.403114,-0.468847,-0.416301,-0.40772,-0.443956,-0.373798,-0.066205,0.539,0.266387,-0.165237,-0.117944,0.791647,-0.106005,-0.463216
2.596157,0.802093,-0.169299,-0.176294,0.312156,1.06906,0.154439,0.109263,-0.169299,-0.176294,0.804839,0.173008,-0.00113,0.542148,-0.453758,-0.418333,-0.384482,-0.474636,-0.264496,1.646348,0.503545,-0.43052,-0.502219,-0.69014,1.374029,0.585606,0.702947,1.307554,0.013985,0.101855,-0.355039,-0.436544,-0.386286,-0.37675,-0.402522,-0.313734,-0.00113,0.542148,0.109263,-0.169299,-0.176294,0.804839,0.173008,-0.564938
3.385579,-0.970086,-0.179149,-0.02149,0.254337,0.306874,0.217319,0.008236,-0.179149,-0.02149,0.846756,-0.117887,-0.354294,-0.393391,-0.436858,-0.400763,-0.327868,-0.456622,-0.207532,1.248424,0.040878,-0.324256,-0.526966,-0.45552,1.522533,0.370955,0.495291,0.954684,0.009073,0.099494,-0.286303,-0.422984,-0.331658,-0.320439,-0.357815,-0.232768,-0.354294,-0.393391,0.008236,-0.179149,-0.02149,0.846756,-0.117887,-0.5771
1.486276,0.839116,-0.283994,-0.13151,0.121342,0.10702,0.011473,0.011215,-0.283994,-0.13151,0.941441,-0.239204,-0.153638,-0.278542,-0.556051,-0.435858,-0.281521,-0.426169,-0.643935,1.248424,-0.036233,-0.268393,-0.475064,-0.749528,0.456328,0.283228,0.575752,1.053735,-0.013943,0.187848,-0.297177,-0.442778,-0.304579,-0.292937,-0.370426,-0.185523,-0.153638,-0.278542,0.011215,-0.283994,-0.13151,0.941441,-0.239204,-0.16516
1.47846,0.322867,-0.274145,-0.272317,0.221358,0.390097,0.279091,0.371943,-0.274145,-0.272317,0.90995,0.015311,0.196609,0.597233,-0.462084,-0.424301,-0.266218,-0.44603,-0.251183,1.248424,-0.344677,-0.225375,-0.395463,-0.787524,0.857737,0.341867,0.756317,1.143245,-0.008833,0.26791,-0.276089,-0.419232,-0.27632,-0.264145,-0.348926,-0.1715,0.196609,0.597233,0.371943,-0.274145,-0.272317,0.90995,0.015311,-0.266606
1.22053,0.990832,-0.362056,-0.244519,0.269994,0.632148,0.138778,0.302817,-0.362056,-0.244519,0.766327,0.318822,0.320068,0.646784,-0.356825,-0.386509,-0.231347,-0.424277,0.065066,0.983142,-0.576011,-0.158014,-0.359645,-0.790285,1.703437,0.716127,0.727179,1.173008,0.227205,0.250792,-0.226642,-0.380504,-0.238353,-0.225043,-0.305138,-0.13831,0.320068,0.646784,0.302817,-0.362056,-0.244519,0.766327,0.318822,-0.216681
1.025128,-0.405034,-0.331199,-0.077184,0.15843,0.089764,0.19455,0.279417,-0.331199,-0.077184,0.803137,0.057853,-0.227919,-0.30969,-0.418639,-0.33345,-0.166598,-0.359461,-0.081752,0.71786,-0.653122,-0.053456,-0.37152,-0.672513,1.606212,0.367606,0.596444,0.924723,0.061948,0.220565,-0.171352,-0.323712,-0.177241,-0.161776,-0.251431,-0.051963,-0.227919,-0.30969,0.279417,-0.331199,-0.077184,0.803137,0.057853,-0.160117
1.642597,-1.021737,-0.086392,-0.098203,0.257916,0.027532,0.222894,0.32284,-0.086392,-0.098203,0.926568,0.020006,-0.011766,-0.143007,-0.6089,-0.553834,-0.127867,-0.350895,0.043915,0.71786,-0.653122,-0.016726,-0.370163,-0.585049,0.083948,0.618345,0.334831,1.083763,0.442261,0.24067,-0.184661,-0.346978,-0.153264,-0.13752,-0.2669,-0.005414,-0.011766,-0.143007,0.32284,-0.086392,-0.098203,0.926568,0.020006,-0.20432
0.149729,-0.121408,0.019456,-0.103253,0.451323,0.177587,0.535176,0.521916,0.019456,-0.103253,0.82633,0.086458,0.361068,0.784752,-0.586842,-0.506912,-0.07695,-0.36413,0.38979,1.049463,-0.653122,0.019394,-0.284602,-0.658761,1.365626,0.536729,0.307348,1.172043,0.374504,0.216103,-0.138655,-0.326945,-0.097313,-0.080042,-0.231871,0.018768,0.361068,0.784752,0.521916,0.019456,-0.103253,0.82633,0.086458,0.029077
-0.233258,0.100083,-0.066363,-0.06054,0.451265,0.418915,0.493767,0.437494,-0.066363,-0.06054,0.740326,0.454661,0.495506,0.85074,-0.492044,-0.466528,-0.030422,-0.285243,0.078866,1.248424,-0.653122,0.11971,-0.26022,-0.793936,2.785168,0.70153,0.374234,1.200061,0.482728,0.25588,-0.100135,-0.265941,-0.057438,-0.039332,-0.186623,0.037837,0.495506,0.85074,0.437494,-0.066363,-0.06054,0.740326,0.454661,-0.072711
-0.233258,1.377243,0.178774,0.126834,0.482219,0.124175,0.558636,0.370751,0.178774,0.126834,1.10266,0.21731,0.028205,-0.069463,-0.381982,-0.317074,0.013969,-0.229548,0.566272,1.248424,-0.653122,0.221817,-0.088908,-0.389429,2.069259,0.598779,0.4184,1.035687,0.343172,0.227566,-0.029028,-0.182962,-0.003091,0.01647,-0.113387,0.066803,0.028205,-0.069463,0.370751,0.178774,0.126834,1.10266,0.21731,0.13185
0.642141,1.015428,0.498559,0.262033,0.753742,0.225519,0.754582,0.45116,0.498559,0.262033,0.638343,0.174768,0.270947,0.129096,-0.24447,-0.036373,0.048251,-0.244184,1.211183,1.248424,-0.653122,0.275789,0.059345,0.34581,1.055479,0.662979,0.596768,1.154134,0.41662,0.381099,-0.03963,-0.228339,0.018368,0.038108,-0.132722,0.029413,0.270947,0.129096,0.45116,0.498559,0.262033,0.638343,0.174768,0.184085
0.454556,0.492188,0.439915,0.088747,0.568322,0.25116,0.572614,0.598471,0.439915,0.088747,0.605172,0.341707,0.541653,1.001766,-0.122599,0.024912,0.08829,-0.212069,0.701877,1.248424,-0.653122,0.336799,0.136947,0.272541,1.360013,0.555564,0.518734,0.55785,0.384847,0.366859,-0.016274,-0.167267,0.062807,0.083846,-0.094946,0.076356,0.541653,1.001766,0.598471,0.439915,0.088747,0.605172,0.341707,0.029547
0.00904,1.760675,0.240514,0.07862,0.502303,0.53773,0.486379,0.523346,0.240514,0.07862,0.554425,0.530356,0.565384,0.951888,-0.037924,0.086771,0.140819,-0.106622,0.381615,0.983142,-0.653122,0.417706,0.204978,0.009565,2.172165,0.258422,0.02829,-0.393404,0.180477,0.017205,0.049516,-0.15245,0.102201,0.124424,-0.049601,0.065183,0.565384,0.951888,0.523346,0.240514,0.07862,0.554425,0.530356,0.15167
-0.592796,0.10785,0.41482,0.425452,0.531982,0.301084,0.578643,0.607012,0.41482,0.425452,0.688941,0.285229,0.238582,0.011037,0.026108,0.199837,0.179195,-0.118221,0.119518,0.784181,-0.653122,0.538649,0.141981,0.705366,0.69374,0.131743,0.108718,-0.16555,0.123922,0.109836,0.123859,-0.077777,0.159043,0.182844,0.022501,0.122264,0.238582,0.011037,0.607012,0.41482,0.425452,0.688941,0.285229,0.117486
