m1,credit,fuel,exports,crr,exchange,sensex,electricity_generation,cement,gdp
30.847,10.31266667,98.1,7.115666667,4,-2.738333333,20.09233333,4.374333333,142.766,7.17
20.14966667,12.011,101.9333333,14.82033333,4,4.807333333,15.16333333,3.630666667,148.357,6.9
16.609,13.00133333,105.7,10.71366667,4,9.622666667,17.751,4.470666667,134.8303333,6.48
14.93966667,14.91333333,107.8,5.263,4,10.505,6.264,6.255,145.2703333,5.32
14.94233333,14.26166667,100.7666667,6.442333333,4,9.079,7.679333333,-0.121,159.4663333,5.47
12.36833333,12.76133333,103.1333333,-1.46,4,2.855333333,11.55166667,6.376666667,149.8983333,4.59
11.94,10.37566667,100.8,-3.779666667,4,-0.3423333333,1.002,1.016333333,135.1513333,3.22
12.16633333,7.709,102.2666667,-1.907,4,0.263,14.53233333,-6.905,146.1996667,2.27
12.28433333,7.042333333,102.6,-11.04966667,3.666666667,3.683666667,-1.568666667,0.7546666667,151.524,-21.92
15.17766667,5.963,85.23333333,-36.13833333,3,8.500333333,-14.44633333,-18.23866667,92.55966667,-4.84
19.02,5.705666667,91.53333333,-5.183666667,3,5.184666667,0.752,0.5853333333,120.8923333,1.01
18.45566667,5.891666667,94,-4.245666667,3,3.285,7.564666667,5.061,140.3956667,2.3
18.42466667,6.044,105.2,23.39233333,3,0.2336666667,36.62433333,9.801333333,165.9973333,22.16
15.75566667,6.047666667,109.8,105.853,3.833333333,-2.379,51.72433333,18.795,146.0966667,8.98
12.49333333,6.484666667,117.3666667,39.414,4,-0.165,48.047,7.545333333,148.054,4.54
13.84766667,7.748333333,131.9333333,40.75566667,4,1.519,33.653,2.374,152.645,3.63
10.867,7.938333333,139.1666667,29.60766667,4,3.082,19.398,2.173666667,180.995,13.11
10.89833333,11.21666667,160.6333333,26.658,4.333333333,5.506333333,8.326333333,15.826,171.2333333,5.5
9.23,15.54633333,161.4,7.835333333,4.5,8.522666667,3.350333333,4.616666667,155.3666667,4.64
9.164,15.60733333,159.6,-1.614,4.5,10.08633333,5.814333333,6.487,168.1,6.29
8.449666667,15.603,156.5333333,-1.546333333,4.5,9.005333333,2.732,4.656,187.7666667,7.28
9.297,16.29833333,149.1666667,-13.998,4.5,5.798333333,13.955,0.333,192.9333333,7.02
